ligand_id,label,best_affinity_kcal_mol,n_poses,worst_affinity_kcal_mol,MolWt,LogP,HBD,HBA,TPSA,RotatableBonds,HeavyAtoms,Formula,smiles
Acetaminophen,background,-6.628,9,-5.793,151.16,1.351,2,2,49.33,1,11,C8H9NO2,O=C(Nc1ccc(O)cc1)C
Alprazolam,background,-8.094,9,-4.024,308.77,3.58,0,3,43.07,1,22,C17H13ClN4,Cc1nnc2n1-c1ccc(Cl)cc1C(=NC2)c1ccccc1
Amlodipine,background,-6.909,9,-4.314,408.88,2.266,2,7,99.88,8,28,C20H25ClN2O5,CCOC(=O)C1=C(COCCN)NC(C)=C(C1c1ccccc1Cl)C(=O)OC
Amoxicillin,background,-7.859,9,-2.864,365.41,0.024,4,6,132.96,4,25,C16H19N3O5S,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
Aspirin,background,-7.071,9,-6.142,180.16,1.31,1,3,63.6,2,13,C9H8O4,CC(=O)OC1=CC=CC=C1C(=O)O
Atenolol,background,-7.575,9,-5.128,266.34,0.452,3,4,84.58,8,19,C14H22N2O3,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Atorvastatin,background,-5.071,8,353.9,558.65,6.314,4,4,111.79,12,41,C33H35FN2O5,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
Caffeine,background,-7.134,9,-6.279,194.19,-1.029,0,3,61.82,0,14,C8H10N4O2,O=C2N(c1ncn(c1C(=O)N2C)C)C
Celecoxib,background,-7.107,9,144.6,381.38,3.514,1,3,77.98,3,26,C17H14F3N3O2S,Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F
Ciprofloxacin,background,-6.727,9,1.356,331.35,1.583,2,4,74.57,3,24,C17H18FN3O3,OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
Citalopram,background,-8.609,9,-2.638,324.4,3.813,0,3,36.26,5,24,C20H21FN2O,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Diazepam,background,-7.306,9,-3.633,284.75,3.154,0,2,32.67,1,20,C16H13ClN2O,CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1
Diclofenac,background,-7.633,9,-6.576,296.15,4.364,2,2,49.33,4,19,C14H11Cl2NO2,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
Diphenhydramine,background,-8.062,9,-6.499,255.36,3.354,0,2,12.47,6,19,C17H21NO,CN(C)CCOC(c1ccccc1)c1ccccc1
Donepezil,control,-10.37,9,0.7683,379.5,4.361,0,4,38.77,6,28,C24H29NO3,O=C2c1cc(OC)c(OC)cc1CC2CC4CCN(Cc3ccccc3)CC4
