name,smiles
Donepezil,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
Galantamine, CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O
Tacrine, C1CCC2=NC3=CC=CC=C3C(=C2C1)N
Rivastigmine, CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C
Huperzine A, C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3
Memantine, CC12CC3CC(C1)(CC(C3)(C2)N)C
Rasagiline, C#CCN[C@@H]1CCC2=CC=CC=C12
Selegiline, C[C@H](CC1=CC=CC=C1)N(C)CC#C
Levodopa, C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
Nicotine, CN1CCC[C@H]1C2=CN=CC=C2
Diazepam, CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
Lorazepam, C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
Alprazolam, CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
Haloperidol, C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
Risperidone, CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
Olanzapine, CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
Quetiapine, C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
Sertraline, CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
Fluoxetine, CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
Citalopram, CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
Gabapentin, C1CCC(CC1)(CC(=O)O)CN
Pregabalin, CC(C)C[C@@H](CC(=O)O)CN
Tramadol, CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
Morphine, CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O
Diphenhydramine, CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
Loratadine, CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
Aspirin, CC(=O)OC1=CC=CC=C1C(=O)O
Ibuprofen, CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Acetaminophen, CC(=O)NC1=CC=C(C=C1)O
Caffeine, CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Metformin, CN(C)C(=N)N=C(N)N
Naproxen, C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
Diclofenac, C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
Celecoxib, CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Omeprazole, CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
Ranitidine, CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C
Simvastatin, CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
Atorvastatin, CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
Amlodipine, CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
Losartan, CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl
Lisinopril, C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O
Metoprolol, CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
Atenolol, CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Propranolol, CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
Warfarin, CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
Furosemide, C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
Prednisone, C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
Amoxicillin, CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C
Ciprofloxacin, C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
Fluconazole, C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
